ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending,open_price,close_price,is_long,is_short,slippage_money,bars_in_trade,close_type,stop_loss,take_profit,exit_index
302,1,11,1708086600000,1708095600000,1.0,-1999.0,-5.0,true,2020.0,690.0,41068.0,false,false,false,3111.6,3091.7,true,false,4.0,2,2,3101.6,3140.0,-1
312,1,11,1708686360000,1708700400000,1.0,-69.0,-5.0,true,160.0,930.0,40999.0,false,false,false,3118.7,3118.1,true,false,4.0,3,16,3108.7,3147.1,-1
321,1,11,1709022660000,1709109060000,1.0,-1549.0,-5.0,true,1540.0,320.0,39450.0,false,false,false,3126.2,3110.8,true,false,4.0,3,2,3116.2,3154.6,-1
330,1,11,1709123400000,1709284920000,1.0,2831.0,-5.0,true,1090.0,2840.0,42281.0,false,false,false,3133.8,3162.2,true,false,4.0,4,3,3123.8,3162.2,-1
341,1,11,1709296200000,1709305200000,1.0,421.0,-5.0,true,160.0,610.0,42702.0,false,false,false,3164.5,3168.8,true,false,4.0,2,16,3154.5,3192.9,-1
348,1,11,1709564400000,1709646480000,1.0,-1009.0,-5.0,true,1700.0,710.0,41693.0,false,false,false,3188.7,3178.7,true,false,4.0,2,2,3178.7,3217.1,-1
355,1,11,1709800260000,1709886660000,1.0,2831.0,-5.0,true,0.0,2840.0,44524.0,false,false,false,3212.7,3241.1,true,false,4.0,3,3,3202.7,3241.1,-1
367,1,11,1710319140000,1710340140000,1.0,-1009.0,-5.0,true,1000.0,310.0,43515.0,false,false,false,3226.9,3216.9,true,false,4.0,2,2,3216.9,3255.3,-1
383,1,11,1710942600000,1711010400000,1.0,2831.0,-5.0,true,760.0,2840.0,46346.0,false,false,false,3230.0,3258.4,true,false,4.0,2,3,3220.0,3258.4,-1
390,1,11,1711024200000,1711097760000,1.0,-1009.0,-5.0,true,1000.0,390.0,45337.0,false,false,false,3268.9,3258.9,true,false,4.0,2,2,3258.9,3297.3,-1
400,1,11,1711551600000,1711963260000,1.0,-1009.0,-5.0,true,1000.0,2400.0,44328.0,false,false,false,3287.3,3277.3,true,false,4.0,3,2,3277.3,3315.7,-1
439,1,11,1721120220000,1721138220000,1.0,2831.0,-5.0,true,650.0,2840.0,47159.0,false,false,false,3301.1,3329.5,true,false,4.0,2,3,3291.1,3329.5,-1
446,1,11,1721142000000,1721219400000,1.0,-3329.0,-5.0,true,3720.0,450.0,43830.0,false,false,false,3336.5,3303.3,true,false,4.0,2,2,3326.5,3364.9,-1
501,1,11,1726734660000,1726751940000,1.0,-1009.0,-5.0,true,2970.0,500.0,42821.0,false,false,false,3335.7,3325.7,true,false,4.0,2,2,3325.7,3364.1,-1
514,1,11,1727166780000,1727183640000,1.0,-1009.0,-5.0,true,1700.0,490.0,41812.0,false,false,false,3335.0,3325.0,true,false,4.0,2,2,3325.0,3363.4,-1
527,1,11,1727425860000,1727440200000,1.0,-1349.0,-5.0,true,1580.0,1550.0,40463.0,false,false,false,3335.0,3321.6,true,false,4.0,2,2,3325.0,3363.4,-1
552,1,11,1728658800000,1728658800000,1.0,-49.0,-5.0,true,90.0,20.0,40414.0,false,false,false,3353.3,3352.9,true,false,4.0,0,16,3343.3,3381.7,-1
557,1,11,1728918000000,1729070280000,1.0,2831.0,-5.0,true,970.0,2870.0,43245.0,false,false,false,3372.5,3400.9,true,false,4.0,3,3,3362.5,3400.9,-1
566,1,11,1729090800000,1729263600000,1.0,401.0,-5.0,true,630.0,1420.0,43646.0,false,false,false,3390.8,3394.9,true,false,4.0,5,16,3380.8,3419.2,-1
585,1,11,1731055740000,1731078000000,1.0,831.0,-5.0,true,1100.0,1430.0,44477.0,false,false,false,3479.3,3487.7,true,false,4.0,3,16,3469.3,3507.7,-1
594,1,11,1731337200000,1731414600000,1.0,-3209.0,-5.0,true,4240.0,480.0,41268.0,false,false,false,3513.8,3481.8,true,false,4.0,2,2,3503.8,3542.2,-1
616,1,11,1732273140000,1732287600000,1.0,1021.0,-5.0,true,190.0,1330.0,42289.0,false,false,false,3517.3,3527.6,true,false,4.0,3,16,3507.3,3545.7,-1
625,1,11,1732546800000,1732624200000,1.0,-2059.0,-5.0,true,3600.0,180.0,40230.0,false,false,false,3578.7,3558.2,true,false,4.0,2,2,3568.7,3607.1,-1
677,1,21,1765442340000,1765533360000,1.0,-1069.0,-5.0,true,1090.0,2560.0,39161.0,false,false,false,3449.3,3438.7,true,false,4.0,3,2,3439.3,3477.7,-1
