ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending,open_price,close_price,is_long,is_short,slippage_money,bars_in_trade,close_type,exit_index,stop_loss,take_profit
368,1,11,1689091200000,1689176400000,4.0,527.6,-8.0,true,96.0,848.08,50694.38,false,false,false,34163.2,34433.0,true,false,4.0,23,2,-1,34038.2,34758.0
441,2,11,1691049600000,1691049600000,3.0,-10.0,-6.0,true,0.0,0.0,50684.38,false,false,false,35136.3,35136.3,false,true,4.0,0,3,-1,35286.3,35136.0
474,2,11,1692184200000,1692184200000,3.0,-10.0,-6.0,true,0.0,0.0,50674.38,false,false,false,34932.0,34932.0,false,true,4.0,0,3,-1,35082.0,34932.0
480,2,11,1692205560000,1692205560000,3.0,-10.0,-6.0,true,0.0,0.0,50664.38,false,false,false,34896.0,34896.0,false,true,4.0,0,3,-1,35046.0,34896.0
486,2,11,1692292200000,1692292200000,3.0,-10.0,-6.0,true,0.0,0.0,50654.38,false,false,false,34730.0,34730.0,false,true,4.0,0,3,-1,34880.0,34730.0
489,2,11,1692298800000,1692298800000,3.0,-10.0,-6.0,true,0.0,0.0,50644.38,false,false,false,34535.7,34535.7,false,true,4.0,0,3,-1,34685.7,34536.0
501,1,11,1693324800000,1693405500000,4.0,232.58,-8.0,true,21.86,546.0,50876.96,false,false,false,34752.71,34875.0,true,false,4.0,22,2,-1,34627.71,35348.0
589,1,11,1694703600000,1694782380000,4.0,144.56,-8.0,true,52.04,402.76,51021.52,false,false,false,34815.72,34894.0,true,false,4.0,21,2,-1,34690.72,35411.0
663,2,11,1695132000000,1695132000000,3.0,-10.0,-6.0,true,0.0,0.0,51011.52,false,false,false,34539.8,34539.8,false,true,4.0,0,3,-1,34689.8,34540.0
672,2,11,1695326400000,1695326400000,3.0,-10.0,-6.0,true,0.0,0.0,51001.52,false,false,false,34073.25,34073.25,false,true,4.0,0,3,-1,34223.25,34073.0
687,2,11,1695744000000,1695744000000,3.0,-10.0,-6.0,true,0.0,0.0,50991.52,false,false,false,33692.277,33692.277,false,true,4.0,0,3,-1,33842.277,33692.0
