ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending,open_price,close_price,is_long,is_short,slippage_money,bars_in_trade,close_type,stop_loss,take_profit,exit_index
286,1,11,1689307200000,1689328260000,5.0,-265.1,-10.0,true,258.2,140.1,55176.324,false,false,false,15586.609,15561.5,true,false,4.0,2,2,15561.609,15665.25,-1
293,1,11,1689336660000,1689350400000,5.0,948.2,-10.0,true,220.81,1367.89,56124.523,false,false,false,15586.5,15682.719,true,false,4.0,2,3,15561.5,15665.25,-1
307,1,11,1689616140000,1689624000000,5.0,271.0,-10.0,true,85.909996,655.39,56395.523,false,false,false,15682.75,15711.25,true,false,4.0,2,17,15657.75,15761.5,-1
312,1,11,1689746580000,1689768000000,5.0,163.5,-10.0,true,106.61,340.58997,56559.023,false,false,false,15842.25,15860.0,true,false,4.0,3,19,15817.25,15921.0,-1
319,1,11,1689782400000,1689796800000,5.0,-686.8,-10.0,true,1142.2,361.8,55872.227,false,false,false,15897.029,15829.75,true,false,4.0,2,17,15872.029,15975.75,-1
396,2,11,1695737040000,1695758400000,3.0,303.5,-6.0,true,264.534,568.266,56175.727,false,false,false,14598.75,14546.5,false,true,4.0,3,19,14646.25,14480.0,-1
448,2,11,1698307200000,1698322620000,3.0,-295.43,-6.0,true,388.02,37.44,55880.29,false,false,false,14215.179,14262.75,false,true,4.0,2,2,14262.679,14096.5,-1
497,1,11,1699952940000,1699964700000,5.0,-264.0,-10.0,true,346.40997,57.89,55616.29,false,false,false,15537.0,15512.0,true,false,4.0,2,2,15512.0,15615.75,-1
504,1,11,1700020800000,1700049600000,5.0,434.5,-10.0,true,159.5,475.5,56050.79,false,false,false,15856.649,15901.5,true,false,4.0,3,19,15831.649,15935.5,-1
523,1,11,1700490840000,1700503380000,5.0,773.5,-10.0,true,231.21,787.5,56824.29,false,false,false,15902.5,15981.25,true,false,4.0,2,3,15877.5,15981.25,-1
531,1,11,1700539200000,1700553600000,5.0,-319.73,-10.0,true,344.8,21.6,56504.566,false,false,false,16054.729,16024.157,true,false,4.0,2,2,16029.729,16133.5,-1
571,1,11,1702310400000,1702324800000,5.0,448.0,-10.0,true,556.89996,685.5,56952.566,false,false,false,16164.049,16210.25,true,false,4.0,2,17,16139.049,16242.75,-1
576,1,11,1702353600000,1702382400000,5.0,-47.87,-10.0,true,53.699997,244.0,56904.69,false,false,false,16241.889,16238.5,true,false,4.0,3,19,16216.889,16320.75,-1
584,1,11,1702444860000,1702468800000,5.0,-16.5,-10.0,true,172.21,81.39,56888.19,false,false,false,16387.25,16387.0,true,false,4.0,3,19,16362.25,16466.0,-1
591,1,11,1702483200000,1702497600000,5.0,1415.43,-10.0,true,531.1,1619.4,58303.613,false,false,false,16408.559,16551.5,true,false,4.0,2,17,16383.559,16487.25,-1
