ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending
501,1,11,1693324800000,1693404000000,4.1,238.49,-8.2,true,22.4065,559.64996,51091.074,false,false,false
589,1,11,1694703600000,1694779200000,4.1,148.27,-8.2,true,53.341,412.829,51239.348,false,false,false
663,2,11,1695132000000,1695132000000,3.4,-10.8,-6.8,true,0.0,0.0,51228.547,false,false,false
672,2,11,1695326400000,1695326400000,3.4,-10.8,-6.8,true,0.0,0.0,51217.75,false,false,false
687,2,11,1695744000000,1695744000000,3.4,-10.8,-6.8,true,0.0,0.0,51206.95,false,false,false
690,2,11,1695826800000,1695826800000,3.4,-10.8,-6.8,true,0.0,0.0,51196.15,false,false,false
714,2,11,1696338000000,1696338000000,3.4,-10.8,-6.8,true,0.0,0.0,51185.348,false,false,false
723,1,11,1696899600000,1697036400000,4.1,157.4,-8.2,true,99.54389,549.87555,51342.746,false,false,false
838,2,11,1697731200000,1697731200000,3.4,-10.8,-6.8,true,0.0,0.0,51331.945,false,false,false
841,2,11,1697742000000,1697742000000,3.4,-10.8,-6.8,true,0.0,0.0,51321.145,false,false,false
844,2,11,1698051600000,1698051600000,3.4,-10.8,-6.8,true,0.0,0.0,51310.344,false,false,false
859,2,11,1698408000000,1698408000000,3.4,-10.8,-6.8,true,0.0,0.0,51299.547,false,false,false
862,1,11,1698850800000,1698854400000,4.1,-268.88,-8.2,true,256.67844,65.764,51030.664,false,false,false
887,1,11,1703620800000,1703862000000,4.1,154.88,-8.2,true,178.26799,427.589,51185.54,false,false,false
1076,2,11,1704682800000,1704682800000,3.4,-10.8,-6.8,true,0.0,0.0,51174.74,false,false,false
1091,2,11,1705428000000,1705428000000,3.4,-10.8,-6.8,true,0.0,0.0,51163.938,false,false,false
1097,2,11,1705521600000,1705521600000,3.4,-10.8,-6.8,true,0.0,0.0,51153.14,false,false,false
1100,2,11,1705586400000,1705586400000,3.4,-10.8,-6.8,true,0.0,0.0,51142.34,false,false,false
1130,1,11,1708027200000,1708088400000,4.1,-251.58,-8.2,true,239.38875,50.2004,50890.76,false,false,false
1219,1,11,1710338400000,1710356400000,4.1,-147.91,-8.2,true,135.70795,263.425,50742.85,false,false,false
1248,1,11,1710961200000,1711112400000,4.1,613.52,-8.2,true,16.375399,984.0,51356.37,false,false,false
1382,1,11,1711569600000,1711972800000,4.1,136.92,-8.2,true,137.883,427.425,51493.29,false,false,false
1519,2,11,1712847600000,1712847600000,3.4,-10.8,-6.8,true,0.0,0.0,51482.49,false,false,false
1540,1,11,1713808800000,1713812400000,4.1,-268.98,-8.2,true,256.78915,86.07539,51213.508,false,false,false
1550,1,11,1714690800000,1714744800000,4.1,227.22,-8.2,true,45.510002,721.15717,51440.727,false,false,false
1605,2,11,1716476400000,1716476400000,3.4,-10.8,-6.8,true,0.0,0.0,51429.926,false,false,false
1614,2,11,1716948000000,1716948000000,3.4,-10.8,-6.8,true,0.0,0.0,51419.125,false,false,false
1626,2,11,1718352000000,1718352000000,3.4,-10.8,-6.8,true,0.0,0.0,51408.324,false,false,false
1629,1,11,1718902800000,1718910000000,4.1,117.46,-8.2,true,66.575806,467.3508,51525.79,false,false,false
1658,1,11,1720447200000,1720450800000,4.1,-268.88,-8.2,true,256.69073,91.397194,51256.906,false,false,false
1692,2,11,1721908800000,1721908800000,3.4,-10.8,-6.8,true,0.0,0.0,51246.11,false,false,false
1701,2,11,1722816000000,1722816000000,3.4,-10.8,-6.8,true,0.0,0.0,51235.31,false,false,false
1719,1,11,1723658400000,1723759200000,4.1,1207.0,-8.2,true,131.2,1219.1862,52442.305,false,false,false
1810,2,11,1726063200000,1726063200000,3.5,-11.0,-7.0,true,0.0,0.0,52431.305,false,false,false
1813,1,11,1726164000000,1726239600000,4.2,933.1,-8.4,true,377.05078,1003.7496,53364.41,false,false,false
1904,1,11,1728658800000,1728658800000,4.3,96.02,-8.6,true,38.803204,162.19601,53460.426,false,false,false
1915,2,11,1729764000000,1729764000000,3.6,-11.2,-7.2,true,0.0,0.0,53449.227,false,false,false
1918,2,11,1729782000000,1729782000000,3.6,-11.2,-7.2,true,0.0,0.0,53438.027,false,false,false
1936,1,11,1730858400000,1730876400000,4.3,1267.4,-8.6,true,44.1008,1280.0004,54705.43,false,false,false
1962,2,11,1731682800000,1731682800000,3.6,-11.2,-7.2,true,0.0,0.0,54694.23,false,false,false
1968,2,11,1731920400000,1731920400000,3.6,-11.2,-7.2,true,0.0,0.0,54683.027,false,false,false
1974,2,11,1732010400000,1732010400000,3.6,-11.2,-7.2,true,0.0,0.0,54671.83,false,false,false
1980,1,11,1732208400000,1732266000000,4.4,-73.94,-8.8,true,132.1056,523.6264,54597.89,false,false,false
2054,2,11,1733763600000,1733763600000,3.6,-11.2,-7.2,true,0.0,0.0,54586.69,false,false,false
2057,2,11,1733770800000,1733770800000,3.6,-11.2,-7.2,true,0.0,0.0,54575.492,false,false,false
2063,2,11,1733932800000,1733932800000,3.6,-11.2,-7.2,true,0.0,0.0,54564.29,false,false,false
2069,2,11,1733958000000,1733958000000,3.6,-11.2,-7.2,true,0.0,0.0,54553.09,false,false,false
2072,2,11,1734026400000,1734026400000,3.6,-11.2,-7.2,true,0.0,0.0,54541.89,false,false,false
2075,2,11,1734102000000,1734102000000,3.6,-11.2,-7.2,true,0.0,0.0,54530.69,false,false,false
2078,2,11,1734372000000,1734372000000,3.6,-11.2,-7.2,true,0.0,0.0,54519.492,false,false,false
2087,2,11,1734688800000,1734688800000,3.6,-11.2,-7.2,true,0.0,0.0,54508.29,false,false,false
2114,1,11,1736942400000,1737025200000,4.4,766.04,-8.8,true,143.10559,1285.9,55274.336,false,false,false
2184,1,11,1738008000000,1738080000000,4.4,277.45,-8.8,true,183.8584,768.2928,55551.78,false,false,false
2252,1,11,1738796400000,1738854000000,4.4,-264.11,-8.8,true,251.2994,322.45844,55287.676,false,false,false
2320,2,11,1740150000000,1740150000000,3.7,-11.4,-7.4,true,0.0,0.0,55276.273,false,false,false
2323,2,11,1740409200000,1740409200000,3.7,-11.4,-7.4,true,0.0,0.0,55264.875,false,false,false
2332,2,11,1740470400000,1740470400000,3.7,-11.4,-7.4,true,0.0,0.0,55253.477,false,false,false
2341,2,11,1741093200000,1741093200000,3.7,-11.4,-7.4,true,0.0,0.0,55242.074,false,false,false
2353,2,11,1741284000000,1741284000000,3.7,-11.4,-7.4,true,0.0,0.0,55230.676,false,false,false
2356,2,11,1741359600000,1741359600000,3.7,-11.4,-7.4,true,0.0,0.0,55219.273,false,false,false
2365,2,11,1741701600000,1741701600000,3.7,-11.4,-7.4,true,0.0,0.0,55207.875,false,false,false
2371,2,11,1741791600000,1741791600000,3.7,-11.4,-7.4,true,0.0,0.0,55196.477,false,false,false
2380,2,11,1741878000000,1741878000000,3.7,-11.4,-7.4,true,0.0,0.0,55185.074,false,false,false
2392,1,11,1742806800000,1743001200000,4.4,408.61,-8.8,true,107.74721,1097.0608,55593.684,false,false,false
2561,2,11,1743415200000,1743415200000,3.7,-11.4,-7.4,true,0.0,0.0,55582.285,false,false,false
2564,1,11,1743613200000,1743616800000,4.4,-288.24,-8.8,true,397.69843,250.3336,55294.043,false,false,false
2571,1,11,1743620400000,1743624000000,4.4,-287.8,-8.8,true,275.0,70.2394,55006.246,false,false,false
2578,2,11,1743663600000,1743663600000,3.7,-11.4,-7.4,true,0.0,0.0,54994.844,false,false,false
2581,2,11,1743717600000,1743717600000,3.7,-11.4,-7.4,true,0.0,0.0,54983.445,false,false,false
2584,2,11,1744009200000,1744009200000,3.7,-11.4,-7.4,true,0.0,0.0,54972.043,false,false,false
