ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending
2198,1,11,1738796400000,1738854000000,4.0,-240.46,-8.0,true,228.454,293.144,55182.24,false,false,false
2266,2,11,1740150000000,1740150000000,4.0,-12.0,-8.0,true,0.0,0.0,55170.24,false,false,false
2269,2,11,1740409200000,1740409200000,4.0,-12.0,-8.0,true,0.0,0.0,55158.24,false,false,false
2278,2,11,1740470400000,1740470400000,4.0,-12.0,-8.0,true,0.0,0.0,55146.24,false,false,false
2287,2,11,1741093200000,1741093200000,4.0,-12.0,-8.0,true,0.0,0.0,55134.24,false,false,false
2299,2,11,1741284000000,1741284000000,4.0,-12.0,-8.0,true,0.0,0.0,55122.24,false,false,false
2302,2,11,1741359600000,1741359600000,4.0,-12.0,-8.0,true,0.0,0.0,55110.24,false,false,false
2311,2,11,1741701600000,1741701600000,4.0,-12.0,-8.0,true,0.0,0.0,55098.24,false,false,false
2317,2,11,1741791600000,1741791600000,4.0,-12.0,-8.0,true,0.0,0.0,55086.24,false,false,false
2326,2,11,1741878000000,1741878000000,4.0,-12.0,-8.0,true,0.0,0.0,55074.24,false,false,false
2338,1,11,1742806800000,1743001200000,4.0,371.1,-8.0,true,97.952,997.328,55445.34,false,false,false
2507,2,11,1743415200000,1743415200000,4.0,-12.0,-8.0,true,0.0,0.0,55433.34,false,false,false
2510,1,11,1743613200000,1743616800000,4.0,-262.4,-8.0,true,361.544,227.576,55170.94,false,false,false
2517,1,11,1743620400000,1743624000000,4.0,-262.0,-8.0,true,250.0,63.854,54908.94,false,false,false
2524,2,11,1743663600000,1743663600000,4.0,-12.0,-8.0,true,0.0,0.0,54896.94,false,false,false
2527,2,11,1743717600000,1743717600000,4.0,-12.0,-8.0,true,0.0,0.0,54884.94,false,false,false
2530,2,11,1744009200000,1744009200000,4.0,-12.0,-8.0,true,0.0,0.0,54872.94,false,false,false
2542,1,11,1745362800000,1745366400000,4.0,-261.52,-8.0,true,249.526,70.0,54611.418,false,false,false
2579,2,11,1748005200000,1748005200000,4.0,-12.0,-8.0,true,0.0,0.0,54599.418,false,false,false
2585,1,11,1748376000000,1748422800000,4.0,-262.98,-8.0,true,250.974,121.904,54336.44,false,false,false
2656,2,11,1750316400000,1750316400000,4.0,-12.0,-8.0,true,0.0,0.0,54324.44,false,false,false
2662,1,11,1750719600000,1750870800000,4.0,337.2,-8.0,true,17.856,908.024,54661.64,false,false,false
2796,2,11,1752451200000,1752451200000,4.0,-12.0,-8.0,true,0.0,0.0,54649.64,false,false,false
2802,1,11,1753261200000,1753340400000,4.0,272.2,-8.0,true,157.144,634.904,54921.84,false,false,false
2891,1,11,1755072000000,1755172800000,4.0,517.42,-8.0,true,15.096,923.024,55439.26,false,false,false
3033,1,11,1757599200000,1757685600000,4.0,50.02,-8.0,true,21.168,425.624,55489.28,false,false,false
3137,1,11,1759464000000,1759503600000,4.0,691.18,-8.0,true,117.976,751.168,56180.46,false,false,false
3179,2,11,1760104800000,1760104800000,4.0,-12.0,-8.0,true,0.0,0.0,56168.46,false,false,false
3191,1,11,1760464800000,1760468400000,4.0,-261.98,-8.0,true,249.974,36.024,55906.48,false,false,false
3201,1,11,1760983200000,1761138000000,4.0,190.04,-8.0,true,198.144,834.952,56096.52,false,false,false
3343,2,11,1762516800000,1762516800000,4.0,-12.0,-8.0,true,0.0,0.0,56084.52,false,false,false
3346,1,11,1762880400000,1762956000000,4.0,1060.5,-8.0,true,14.056,1072.51,57145.02,false,false,false
3420,2,11,1763442000000,1763442000000,4.0,-12.0,-8.0,true,0.0,0.0,57133.02,false,false,false
3423,2,11,1763470800000,1763470800000,4.0,-12.0,-8.0,true,0.0,0.0,57121.02,false,false,false
3435,2,11,1763571600000,1763571600000,4.0,-12.0,-8.0,true,0.0,0.0,57109.02,false,false,false
3444,1,11,1764111600000,1764342000000,5.0,1326.68,-10.0,true,30.060001,1340.6825,58435.695,false,false,false
3602,1,21,1766595600000,1766761200000,5.0,-59.35,-10.0,true,232.94,179.65,58376.344,false,false,false
3676,1,21,1767625200000,1767643200000,5.0,302.17,-10.0,true,31.5,785.19995,58678.52,false,false,false
3708,2,21,1768935600000,1768935600000,4.0,-12.0,-8.0,true,0.0,0.0,58666.52,false,false,false
3714,2,21,1768993200000,1768993200000,4.0,-12.0,-8.0,true,0.0,0.0,58654.52,false,false,false
3717,2,21,1769000400000,1769000400000,4.0,-12.0,-8.0,true,0.0,0.0,58642.52,false,false,false
3732,2,21,1770001200000,1770001200000,4.0,-12.0,-8.0,true,0.0,0.0,58630.52,false,false,false
3750,2,21,1771592400000,1771592400000,4.0,-12.0,-8.0,true,0.0,0.0,58618.52,false,false,false
3753,2,21,1771855200000,1771855200000,4.0,-12.0,-8.0,true,0.0,0.0,58606.52,false,false,false
3756,2,21,1771862400000,1771862400000,4.0,-12.0,-8.0,true,0.0,0.0,58594.52,false,false,false
3759,2,21,1771941600000,1771941600000,4.0,-12.0,-8.0,true,0.0,0.0,58582.52,false,false,false
3768,2,21,1772434800000,1772434800000,4.0,-12.0,-8.0,true,0.0,0.0,58570.52,false,false,false
3780,2,21,1773014400000,1773014400000,4.0,-12.0,-8.0,true,0.0,0.0,58558.52,false,false,false
3798,2,21,1773910800000,1773910800000,4.0,-12.0,-8.0,true,0.0,0.0,58546.52,false,false,false
3801,2,21,1773921600000,1773921600000,4.0,-12.0,-8.0,true,0.0,0.0,58534.52,false,false,false
3807,2,21,1774004400000,1774004400000,4.0,-12.0,-8.0,true,0.0,0.0,58522.52,false,false,false
3810,2,21,1774238400000,1774238400000,4.0,-12.0,-8.0,true,0.0,0.0,58510.52,false,false,false
3822,1,21,1775023200000,1775091600000,5.0,-137.37,-10.0,true,123.3775,864.87,58373.145,false,false,false
3912,1,21,1777561200000,1777644000000,5.0,1326.18,-10.0,true,184.94,1340.1825,59699.32,false,false,false
3986,1,21,1778079600000,1778083200000,5.0,-325.55,-10.0,true,349.595,48.885002,59373.77,false,false,false
4002,1,21,1779386400000,1779462000000,5.0,986.95,-10.0,true,404.615,1235.925,60360.72,false,false,false
4072,2,21,1780898400000,1780898400000,4.0,-12.0,-8.0,true,0.0,0.0,60348.72,false,false,false
4081,2,21,1781107200000,1781107200000,4.0,-12.0,-8.0,true,0.0,0.0,60336.72,false,false,false
4090,1,21,1781478000000,1781614800000,5.0,1327.2,-10.0,true,158.85,1341.2124,61663.92,false,false,false
4231,2,21,1783526400000,1783526400000,4.0,-12.0,-8.0,true,0.0,0.0,61651.92,false,false,false
4255,2,21,1784559600000,1784559600000,4.0,-12.0,-8.0,true,0.0,0.0,61639.92,false,false,false
4264,1,21,1785254400000,1785261600000,5.0,-326.75,-10.0,true,312.7475,102.47,61313.17,false,false,false
4282,1,21,1785747600000,1785837600000,5.0,1326.4,-10.0,true,112.53,1340.4026,62639.57,false,false,false
4366,2,21,1786935600000,1786935600000,4.0,-12.0,-8.0,true,0.0,0.0,62627.57,false,false,false
4369,2,21,1787058000000,1787058000000,4.0,-12.0,-8.0,true,0.0,0.0,62615.57,false,false,false
4372,2,21,1787065200000,1787065200000,4.0,-12.0,-8.0,true,0.0,0.0,62603.57,false,false,false
4378,1,21,1787648400000,1787662800000,5.0,-96.72,-10.0,true,82.71751,413.72003,62506.844,false,false,false
