"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 1.21.101";"";"0.2";"AUDUSD_H1";"H1";"-4871.42";"";"691";"0.07";"-12.07";"-0.87";"-243.57";"-0.98";"31.76";"4902.89";"0.07";"-0.99";"0.0";"7.36";"8.1";"12.57";"8.25";"8.55";"5.09";"0.06";"-14.05";"";"2";"0.0";"0.0";"-1.0";"-1.41";"0.0";"96.5";"14.05";"0.0";"-1.0";"-1.01";"0.0";"7.03";"0.0";"5.5";"5.5";"0.0"
"Strategy 1.6.190";"";"0.2";"AUDUSD_H1";"H1";"-4371.02";"";"576";"0.05";"-12.23";"-0.93";"-218.55";"-0.93";"57.22";"4371.02";"0.02";"-1.0";"0.0";"15.64";"8.17";"23.79";"14.48";"14.71";"14.69";"0.06";"-24.88";"";"4";"0.0";"-37.49";"-1.0";"-2.49";"-0.39";"15.88";"24.88";"0.0";"-1.0";"-1.0";"0.0";"6.22";"0.0";"5.0";"5.0";"0.0"
"Strategy 1.21.139";"";"0.2";"AUDUSD_H1";"H1";"-2358.48";"";"310";"0.12";"-6.2";"-0.8";"-117.92";"-0.94";"60.5";"2467.25";"0.1";"-0.96";"0.0";"10.74";"9.5";"12.41";"10.96";"11.09";"4.21";"0.06";"-3.53";"";"1";"0.0";"0.0";"-1.0";"-0.35";"0.0";"0.0";"3.53";"0.0";"-1.0";"-1.0";"0.0";"3.53";"0.0";"2.0";"2.0";"0.0"
"Strategy 1.6.194";"";"0.2";"AUDUSD_H1";"H1";"-1712.32";"";"248";"0.28";"-4.17";"-0.63";"-85.62";"-0.96";"94.04";"1791.62";"0.14";"-0.96";"0.0";"21.26";"10.93";"20.03";"10.85";"12.0";"4.02";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.21.137";"";"0.2";"AUDUSD_H1";"H1";"-6197.04";"";"860";"0.01";"-15.55";"-0.98";"-309.85";"-0.96";"99.56";"6197.04";"0.02";"-1.0";"0.0";"2.54";"7.38";"3.4";"5.93";"5.88";"0.29";"0.06";"-13.99";"";"2";"0.0";"0.0";"-1.0";"-1.4";"0.0";"97.04";"13.99";"0.0";"-1.0";"-1.0";"0.0";"6.99";"0.0";"6.0";"6.0";"0.0"
"Strategy 1.6.193";"";"0.2";"AUDUSD_H1";"H1";"-1891.53";"";"245";"0.04";"-7.29";"-0.91";"-94.58";"-0.96";"83.72";"1891.53";"0.05";"-1.0";"0.0";"7.0";"8.48";"9.42";"8.23";"8.29";"0.0";"0.06";"-6.98";"";"1";"0.0";"0.0";"-1.0";"-0.7";"0.0";"0.0";"6.98";"0.0";"-1.0";"-1.0";"0.0";"6.98";"0.0";"10.0";"10.0";"0.0"
"Strategy 1.13.140";"";"0.2";"AUDUSD_H1";"H1";"-3875.42";"";"517";"0.03";"-12.34";"-0.92";"-193.77";"-0.94";"96.05";"3875.42";"0.06";"-1.0";"0.0";"4.02";"8.13";"2.07";"2.7";"2.67";"0.0";"0.06";"-14.03";"";"2";"0.0";"0.0";"-1.0";"-1.4";"0.0";"97.61";"14.03";"0.0";"-1.0";"-1.0";"0.0";"7.01";"0.0";"1.0";"1.0";"0.0"
"Strategy 1.21.138";"";"0.2";"AUDUSD_H1";"H1";"-1818.27";"";"263";"0.18";"-5.64";"-0.74";"-90.91";"-0.97";"11.16";"1853.4";"0.11";"-0.98";"0.0";"14.45";"9.36";"35.52";"25.53";"26.56";"16.06";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.13.142";"";"0.2";"AUDUSD_H1";"H1";"-1864.37";"";"212";"0.08";"-5.75";"-0.85";"-93.22";"-0.83";"82.06";"1864.37";"0.08";"-1.0";"0.0";"9.88";"10.32";"6.31";"4.17";"4.33";"0.29";"0.06";"-3.52";"";"1";"0.0";"0.0";"-1.0";"-0.35";"0.0";"0.0";"3.52";"0.0";"-1.0";"-1.0";"0.0";"3.52";"0.0";"4.0";"4.0";"0.0"
"Strategy 1.13.141";"";"0.2";"AUDUSD_H1";"H1";"-4017.83";"";"535";"0.1";"-8.31";"-0.87";"-200.89";"-0.95";"0.0";"4074.07";"0.03";"-0.99";"0.0";"25.46";"8.59";"22.47";"9.25";"9.67";"7.15";"0.06";"-7.11";"";"1";"0.0";"0.0";"-1.0";"-0.71";"0.0";"0.0";"7.11";"0.0";"-1.0";"-1.0";"0.0";"7.11";"0.0";"0.0";"0.0";"0.0"
