ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending,open_price,close_price,is_long,is_short,slippage_money,bars_in_trade
160,1,11,1685971860000,1685980800000,5.0,817.5,-10.0,true,68.41,1011.99,53988.25,false,false,false,14556.5,14639.649,true,false,4.0,2
176,1,11,1686561060000,1686571260000,5.0,-264.0,-10.0,true,521.11,0.0,53724.25,false,false,false,14639.0,14614.0,true,false,4.0,2
183,1,11,1686585600000,1686600000000,5.0,1351.93,-10.0,true,195.58,1382.92,55076.176,false,false,false,14655.657,14792.25,true,false,4.0,2
188,1,11,1686628800000,1686653340000,5.0,-263.78,-10.0,true,249.79001,357.8,54812.4,false,false,false,14850.229,14825.25,true,false,4.0,2
195,1,11,1686659400000,1686680820000,5.0,-264.0,-10.0,true,984.81006,888.49,54548.4,false,false,false,14864.75,14839.75,true,false,4.0,2
202,1,11,1686726660000,1686749400000,5.0,-264.0,-10.0,true,250.0,456.37,54284.4,false,false,false,14906.75,14881.75,true,false,4.0,3
235,1,11,1688371500000,1688385600000,5.0,-421.6,-10.0,true,424.71002,130.69,53862.8,false,false,false,15216.0,15175.239,true,false,4.0,2
248,1,11,1688751000000,1688760000000,5.0,-1779.0,-10.0,true,1874.2101,0.89,52083.8,false,false,false,15216.0,15039.5,true,false,4.0,2
253,1,11,1689165000000,1689182460000,5.0,773.5,-10.0,true,146.21,1488.99,52857.3,false,false,false,15216.0,15294.75,true,false,4.0,2
260,1,11,1689220800000,1689251400000,5.0,774.23,-10.0,true,126.4,788.20996,53631.523,false,false,false,15359.429,15438.25,true,false,4.0,3
269,1,11,1689264000000,1689278400000,5.0,736.4,-10.0,true,61.7,1100.7,54367.926,false,false,false,15494.459,15569.5,true,false,4.0,2
274,1,11,1689307200000,1689328260000,5.0,-265.1,-10.0,true,258.2,140.1,54102.824,false,false,false,15586.609,15561.5,true,false,4.0,2
281,1,11,1689336660000,1689350400000,5.0,948.2,-10.0,true,220.81,1367.89,55051.023,false,false,false,15586.5,15682.719,true,false,4.0,2
294,1,11,1689616140000,1689624000000,5.0,271.0,-10.0,true,85.909996,655.39,55322.023,false,false,false,15682.75,15711.25,true,false,4.0,2
299,1,11,1689746580000,1689782580000,5.0,773.5,-10.0,true,106.61,787.5,56095.523,false,false,false,15842.25,15921.0,true,false,4.0,4
382,2,11,1695737040000,1695758400000,3.0,303.5,-6.0,true,264.534,568.266,56399.023,false,false,false,14598.75,14546.5,false,true,4.0,3
434,2,11,1698307200000,1698322620000,3.0,-295.43,-6.0,true,388.02,37.44,56103.59,false,false,false,14215.179,14262.75,false,true,4.0,2
483,1,11,1699952940000,1699964700000,5.0,-264.0,-10.0,true,346.40997,57.89,55839.59,false,false,false,15537.0,15512.0,true,false,4.0,2
490,1,11,1700020800000,1700055000000,5.0,774.5,-10.0,true,159.5,788.51,56614.09,false,false,false,15856.649,15935.5,true,false,4.0,3
511,1,11,1700490840000,1700503380000,5.0,773.5,-10.0,true,231.21,787.5,57387.59,false,false,false,15902.5,15981.25,true,false,4.0,2
518,1,11,1700539200000,1700553600000,5.0,-319.73,-10.0,true,344.8,21.6,57067.863,false,false,false,16054.729,16024.157,true,false,4.0,2
558,1,11,1702310400000,1702324800000,5.0,448.0,-10.0,true,556.89996,685.5,57515.863,false,false,false,16164.049,16210.25,true,false,4.0,2
563,1,11,1702353600000,1702389300000,5.0,-262.87,-10.0,true,248.89,775.5,57252.99,false,false,false,16241.889,16217.0,true,false,4.0,3
572,1,11,1702444860000,1702490880000,5.0,-264.0,-10.0,true,250.0,463.59003,56988.99,false,false,false,16387.25,16362.25,true,false,4.0,4
583,1,11,1702526400000,1702544520000,5.0,-263.87,-10.0,true,249.89,226.7,56725.113,false,false,false,16641.738,16616.75,true,false,4.0,2
590,1,11,1702562940000,1702569600000,5.0,-444.4,-10.0,true,890.11,174.19,56280.715,false,false,false,16641.25,16598.209,true,false,4.0,2
603,1,11,1702653360000,1702656000000,5.0,71.0,-10.0,true,194.01,201.29,56351.715,false,false,false,16641.25,16649.75,true,false,4.0,2
610,1,11,1702877340000,1702886460000,5.0,-264.0,-10.0,true,250.0,7.4900002,56087.715,false,false,false,16644.25,16619.25,true,false,4.0,2
620,1,11,1702986720000,1703016000000,5.0,383.5,-10.0,true,158.91,517.49,56471.215,false,false,false,16752.25,16792.0,true,false,4.0,4
629,1,11,1703044800000,1703059920000,5.0,-264.9,-10.0,true,250.89001,68.0,56206.316,false,false,false,16829.09,16804.0,true,false,4.0,2
639,1,11,1703736000000,1703775900000,5.0,-262.8,-10.0,true,248.79,207.6,55943.516,false,false,false,16947.629,16922.75,true,false,4.0,3
678,1,11,1705665600000,1705680000000,5.0,-242.17,-10.0,true,772.94,102.95999,55701.34,false,false,false,17117.068,17094.25,true,false,4.0,2
