ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending,open_price,close_price,is_long,is_short,slippage_money,bars_in_trade
5699,1,11,1702501140000,1702541940000,5.0,783.5,-10.0,true,176.91,1147.09,61047.79,false,false,false,16551.0,16630.75,true,false,4.0,39
5830,1,11,1702916220000,1702933080000,5.0,393.5,-10.0,true,94.20999,770.49005,61441.29,false,false,false,16689.25,16730.0,true,false,4.0,19
5892,1,11,1703001600000,1703005200000,5.0,-230.37,-10.0,true,216.39,103.6,61210.914,false,false,false,16793.639,16772.0,true,false,4.0,5
5918,2,11,1703102640000,1703102640000,4.0,-12.0,-8.0,true,0.0,0.0,61198.914,false,false,false,16596.75,16596.75,false,true,4.0,0
5945,1,11,1703607120000,1703624160000,5.0,218.5,-10.0,true,225.41,615.58997,61417.414,false,false,false,16850.25,16873.5,true,false,4.0,20
6025,1,11,1703722500000,1703772060000,5.0,105.32,-10.0,true,27.0,383.2,61522.74,false,false,false,16930.068,16942.0,true,false,4.0,56
6193,2,11,1704195000000,1704195000000,4.0,-12.0,-8.0,true,0.0,0.0,61510.74,false,false,false,16690.229,16690.229,false,true,4.0,0
6196,2,11,1704207600000,1704207600000,4.0,-12.0,-8.0,true,0.0,0.0,61498.74,false,false,false,16579.84,16579.84,false,true,4.0,0
6220,1,11,1704728700000,1704743460000,5.0,1211.32,-10.0,true,121.899994,1225.3099,62710.066,false,false,false,16496.469,16619.0,true,false,4.0,17
6269,1,11,1704744000000,1704787200000,5.0,-229.1,-10.0,true,215.09001,266.7,62480.965,false,false,false,16626.51,16605.0,true,false,4.0,42
6398,1,11,1704824100000,1704825000000,5.0,-337.8,-10.0,true,323.79,16.8,62143.164,false,false,false,16699.379,16667.0,true,false,4.0,2
6471,2,11,1705503600000,1705503600000,4.0,-12.0,-8.0,true,0.0,0.0,62131.164,false,false,false,16576.098,16576.098,false,true,4.0,0
6477,1,11,1705581000000,1705585440000,5.0,-250.2,-10.0,true,236.20001,402.27002,61880.965,false,false,false,16878.87,16855.25,true,false,4.0,5
6497,1,11,1705587120000,1705590180000,5.0,-254.0,-10.0,true,281.07,344.03998,61626.965,false,false,false,16893.75,16869.75,true,false,4.0,5
6518,1,11,1705878900000,1705910880000,5.0,287.2,-10.0,true,170.06,768.05,61914.164,false,false,false,17364.38,17394.5,true,false,4.0,36
6629,1,11,1706054400000,1706106900000,5.0,818.45,-10.0,true,67.94,1203.28,62732.613,false,false,false,17451.504,17534.75,true,false,4.0,59
6808,1,11,1706116200000,1706119680000,5.0,-174.0,-10.0,true,281.91,284.19,62558.613,false,false,false,17639.5,17623.5,true,false,4.0,5
6877,1,11,1706569440000,1706598540000,5.0,-329.0,-10.0,true,315.0,142.39,62229.613,false,false,false,17609.25,17577.75,true,false,4.0,33
6973,2,11,1706656500000,1706656500000,4.0,-12.0,-8.0,true,0.0,0.0,62217.613,false,false,false,17339.043,17339.043,false,true,4.0,0
6979,2,11,1706733000000,1706733000000,4.0,-12.0,-8.0,true,0.0,0.0,62205.613,false,false,false,17190.5,17190.5,false,true,4.0,0
7042,1,11,1707316200000,1707317100000,5.0,-422.93,-10.0,true,492.05002,53.730003,61782.69,false,false,false,17685.947,17645.055,true,false,4.0,2
7049,1,11,1707318660000,1707321600000,5.0,501.0,-10.0,true,47.789997,996.98,62283.69,false,false,false,17685.5,17737.0,true,false,4.0,5
7087,1,11,1707413160000,1707414360000,5.0,-339.0,-10.0,true,325.0,70.53,61944.69,false,false,false,17808.5,17776.0,true,false,4.0,3
7114,1,11,1707486300000,1707489000000,5.0,-338.15,-10.0,true,324.14,58.850002,61606.54,false,false,false,17852.914,17820.5,true,false,4.0,4
7134,1,11,1707761040000,1707762180000,5.0,-339.0,-10.0,true,325.0,23.49,61267.54,false,false,false,18028.75,17996.25,true,false,4.0,2
7150,2,11,1707832800000,1707832800000,4.0,-12.0,-8.0,true,0.0,0.0,61255.54,false,false,false,17583.965,17583.965,false,true,4.0,0
7177,1,11,1708077780000,1708090200000,5.0,-309.0,-10.0,true,295.0,88.87,60946.54,false,false,false,17950.5,17921.0,true,false,4.0,15
7227,2,11,1708441200000,1708441200000,4.0,-12.0,-8.0,true,0.0,0.0,60934.54,false,false,false,17505.254,17505.254,false,true,4.0,0
7251,1,11,1708565460000,1708567980000,5.0,-339.0,-10.0,true,325.0,30.98,60595.54,false,false,false,17737.0,17704.5,true,false,4.0,3
7266,1,11,1708570500000,1708600800000,5.0,1213.5,-10.0,true,94.57,1227.5,61809.04,false,false,false,17737.0,17859.75,true,false,4.0,35
7358,1,11,1708629300000,1708631820000,5.0,-307.92,-10.0,true,293.93,177.70999,61501.113,false,false,false,18017.393,17988.0,true,false,4.0,3
7399,1,11,1709218800000,1709219700000,5.0,-681.62,-10.0,true,735.4,151.93,60819.49,false,false,false,18014.281,17947.52,true,false,4.0,2
7445,1,11,1709823900000,1709831880000,5.0,1213.5,-10.0,true,270.97,1227.5,62032.99,false,false,false,18179.75,18302.5,true,false,4.0,10
7476,1,11,1709832900000,1709841600000,5.0,-49.0,-10.0,true,235.13,489.88998,61983.99,false,false,false,18288.0,18284.5,true,false,4.0,11
7547,2,11,1710510300000,1710510300000,4.0,-12.0,-8.0,true,0.0,0.0,61971.99,false,false,false,17833.908,17833.908,false,true,4.0,0
7613,1,11,1710963000000,1710963900000,5.0,-419.15,-10.0,true,408.27,113.06,61552.84,false,false,false,18241.77,18201.254,true,false,4.0,2
7620,1,11,1710964860000,1710999540000,5.0,1213.5,-10.0,true,0.0,1227.5,62766.34,false,false,false,18242.0,18364.75,true,false,4.0,32
7739,2,11,1711548900000,1711548900000,4.0,-12.0,-8.0,true,0.0,0.0,62754.34,false,false,false,18187.75,18187.75,false,true,4.0,0
7757,1,11,1711927980000,1711938960000,5.0,-301.5,-10.0,true,287.5,104.89,62452.84,false,false,false,18382.5,18353.75,true,false,4.0,13
7858,2,11,1712259900000,1712259900000,4.0,-12.0,-8.0,true,0.0,0.0,62440.84,false,false,false,17906.5,17906.5,false,true,4.0,0
7915,1,11,1712855940000,1712909280000,5.0,573.5,-10.0,true,45.960003,1167.1499,63014.34,false,false,false,18218.75,18277.5,true,false,4.0,53
8081,2,11,1713203100000,1713203100000,4.0,-12.0,-8.0,true,0.0,0.0,63002.34,false,false,false,17735.486,17735.486,false,true,4.0,0
8090,2,11,1713491100000,1713491100000,4.0,-12.0,-8.0,true,0.0,0.0,62990.34,false,false,false,17093.021,17093.021,false,true,4.0,0
8123,1,11,1713884400000,1713887940000,5.0,-338.15,-10.0,true,514.17,136.95,62652.19,false,false,false,17454.414,17422.0,true,false,4.0,4
8134,1,11,1713888420000,1713902160000,5.0,31.0,-10.0,true,218.53,628.39,62683.19,false,false,false,17453.75,17458.25,true,false,4.0,16
8190,1,11,1714084920000,1714088340000,5.0,-339.0,-10.0,true,325.0,22.97,62344.19,false,false,false,17654.0,17621.5,true,false,4.0,5
8221,2,11,1714515300000,1714515300000,4.0,-12.0,-8.0,true,0.0,0.0,62332.19,false,false,false,17362.574,17362.574,false,true,4.0,0
8290,1,11,1714744800000,1714745700000,5.0,-780.05,-10.0,true,916.39,465.95,61552.14,false,false,false,17894.414,17817.809,true,false,4.0,2
8315,1,11,1715003100000,1715012460000,5.0,-162.93,-10.0,true,148.93,378.06,61389.215,false,false,false,17976.893,17962.0,true,false,4.0,11
8350,1,11,1715014800000,1715080800000,5.0,405.78,-10.0,true,242.29001,832.48,61794.99,false,false,false,18011.271,18053.25,true,false,4.0,67
8550,1,11,1715093340000,1715104140000,5.0,-31.5,-10.0,true,17.5,428.21,61763.49,false,false,false,18114.0,18112.25,true,false,4.0,13
8609,1,11,1715334300000,1715344740000,5.0,-300.83,-10.0,true,286.81,37.94,61462.664,false,false,false,18202.182,18173.5,true,false,4.0,12
8665,1,11,1715715000000,1715757900000,5.0,-216.15,-10.0,true,210.73,171.04001,61246.516,false,false,false,18322.715,18302.5,true,false,4.0,41
8793,1,11,1715781900000,1715792520000,5.0,1213.5,-10.0,true,102.9,1227.5,62460.016,false,false,false,18417.0,18539.75,true,false,4.0,13
8834,1,11,1715793300000,1715803500000,5.0,185.07,-10.0,true,135.38,567.97003,62645.09,false,false,false,18551.092,18571.0,true,false,4.0,12
8890,1,11,1716219060000,1716226020000,5.0,56.0,-10.0,true,246.97,382.36,62701.09,false,false,false,18669.75,18676.75,true,false,4.0,8
8927,1,11,1716332400000,1716361620000,5.0,-164.57,-10.0,true,150.59,123.380005,62536.516,false,false,false,18725.059,18710.0,true,false,4.0,33
9037,1,11,1716419700000,1716445620000,5.0,769.8,-10.0,true,6.61,1074.5,63306.316,false,false,false,18783.87,18862.25,true,false,4.0,29
9213,1,11,1717597260000,1717600980000,5.0,1213.5,-10.0,true,8.79,1227.5,64519.816,false,false,false,18804.5,18927.25,true,false,4.0,5
9230,1,11,1717602300000,1717628640000,5.0,1211.13,-10.0,true,307.72,1225.13,65730.94,false,false,false,18935.236,19057.75,true,false,4.0,23
9336,1,11,1718130600000,1718195400000,5.0,1212.63,-10.0,true,286.62,1226.63,66943.56,false,false,false,19182.838,19305.5,true,false,4.0,66
9534,1,11,1718200800000,1718203440000,5.0,140.0,-10.0,true,110.06,551.27,67083.56,false,false,false,19460.35,19475.75,true,false,4.0,3
9584,1,11,1718641800000,1718646000000,5.0,1211.07,-10.0,true,128.06,1225.0801,68294.64,false,false,false,19802.992,19925.5,true,false,4.0,5
9600,1,11,1718646300000,1718653620000,5.0,104.57,-10.0,true,10.290001,769.39,68399.21,false,false,false,19913.393,19925.25,true,false,4.0,9
9647,1,11,1718852760000,1718871480000,5.0,531.0,-10.0,true,52.32,1057.39,68930.21,false,false,false,19978.25,20032.75,true,false,4.0,22
9722,2,11,1718901900000,1718901900000,4.0,-12.0,-8.0,true,0.0,0.0,68918.21,false,false,false,19779.498,19779.498,false,true,4.0,0
9827,1,11,1719950340000,1720009200000,5.0,-264.0,-10.0,true,250.0,259.13998,68654.21,false,false,false,20013.25,19988.25,true,false,4.0,59
9965,1,11,1720019700000,1720025100000,5.0,394.8,-10.0,true,119.61,836.38,69049.016,false,false,false,20104.87,20145.75,true,false,4.0,7
9987,1,11,1720026180000,1720044420000,5.0,-339.0,-10.0,true,325.0,96.39,68710.016,false,false,false,20187.75,20155.25,true,false,4.0,2
10018,1,11,1720163700000,1720169520000,5.0,-264.0,-10.0,true,263.46002,48.89,68446.016,false,false,false,20220.0,20195.0,true,false,4.0,7
10050,1,11,1720480500000,1720490100000,5.0,13.8,-10.0,true,15.06,364.27,68459.81,false,false,false,20485.97,20488.75,true,false,4.0,11
10091,1,11,1720618200000,1720621080000,5.0,1.0,-10.0,true,407.24,328.07,68460.81,false,false,false,20538.0,20539.5,true,false,4.0,4
10107,1,11,1720633500000,1720658940000,5.0,-66.37,-10.0,true,175.84999,465.7,68394.44,false,false,false,20642.738,20637.5,true,false,4.0,22
10181,2,11,1720713600000,1720713600000,4.0,-12.0,-8.0,true,0.0,0.0,68382.44,false,false,false,20262.264,20262.264,false,true,4.0,0
10223,2,11,1721317620000,1721317620000,4.0,-12.0,-8.0,true,0.0,0.0,68370.44,false,false,false,19630.25,19630.25,false,true,4.0,0
10265,1,11,1721747520000,1721751720000,5.0,-301.5,-10.0,true,287.5,540.57996,68068.94,false,false,false,19854.75,19826.0,true,false,4.0,6
10293,2,11,1721916900000,1721916900000,4.0,-12.0,-8.0,true,0.0,0.0,68056.94,false,false,false,18765.775,18765.775,false,true,4.0,0
10314,1,11,1722439800000,1722441480000,5.0,-339.57,-10.0,true,325.58997,250.17,67717.37,false,false,false,19342.059,19309.5,true,false,4.0,2
10342,2,11,1722837600000,1722837600000,4.0,-12.0,-8.0,true,0.0,0.0,67705.37,false,false,false,17425.654,17425.654,false,true,4.0,0
10405,1,11,1723138440000,1723142400000,5.0,-339.0,-10.0,true,325.0,364.53,67366.37,false,false,false,18410.5,18378.0,true,false,4.0,5
10439,1,11,1723558500000,1723559580000,5.0,-339.0,-10.0,true,325.0,104.25,67027.37,false,false,false,18801.25,18768.75,true,false,4.0,2
10446,1,11,1723560300000,1723567320000,5.0,1213.5,-10.0,true,0.0,1227.5,68240.87,false,false,false,18808.0,18930.75,true,false,4.0,8
10471,1,11,1723567500000,1723571160000,5.0,-229.83,-10.0,true,215.82,542.6,68011.04,false,false,false,18932.582,18911.0,true,false,4.0,5
10508,1,11,1723730400000,1723731420000,5.0,-338.2,-10.0,true,566.16003,195.96,67672.836,false,false,false,19360.67,19328.25,true,false,4.0,2
10515,1,11,1723732200000,1723750500000,5.0,1212.52,-10.0,true,70.4,1226.52,68885.37,false,false,false,19372.848,19495.5,true,false,4.0,21
10584,1,11,1724095500000,1724121060000,5.0,1213.5,-10.0,true,154.96,1227.5,70098.87,false,false,false,19686.75,19809.5,true,false,4.0,23
10662,1,11,1724329800000,1724334600000,5.0,-249.0,-10.0,true,385.28998,487.58,69849.87,false,false,false,19888.25,19864.75,true,false,4.0,6
10703,2,11,1724858100000,1724858100000,4.0,-12.0,-8.0,true,0.0,0.0,69837.87,false,false,false,19295.42,19295.42,false,true,4.0,0
10706,2,11,1724883300000,1724883300000,4.0,-12.0,-8.0,true,0.0,0.0,69825.87,false,false,false,19171.598,19171.598,false,true,4.0,0
10712,1,11,1724944500000,1724945400000,5.0,-520.12,-10.0,true,868.46,73.86,69305.74,false,false,false,19615.5,19564.887,true,false,4.0,2
10719,1,11,1724947980000,1724948220000,5.0,-339.0,-10.0,true,325.0,78.97,68966.74,false,false,false,19615.5,19583.0,true,false,4.0,2
10783,2,11,1725634800000,1725634800000,4.0,-12.0,-8.0,true,0.0,0.0,68954.74,false,false,false,18500.72,18500.72,false,true,4.0,0
10819,1,11,1726079400000,1726084440000,5.0,1212.92,-10.0,true,264.16,1226.91,70167.664,false,false,false,19096.559,19219.25,true,false,4.0,6
10836,1,11,1726084800000,1726128000000,5.0,133.1,-10.0,true,244.41,893.36,70300.766,false,false,false,19226.04,19240.75,true,false,4.0,42
10949,1,11,1726165320000,1726167060000,5.0,-339.0,-10.0,true,325.0,164.76,69961.766,false,false,false,19444.0,19411.5,true,false,4.0,3
10979,1,11,1726239780000,1726239780000,5.0,13.5,-10.0,true,0.0,34.04,69975.266,false,false,false,19506.75,19509.5,true,false,4.0,0
11014,1,11,1726573920000,1726580280000,5.0,-339.0,-10.0,true,325.0,353.65002,69636.266,false,false,false,19546.0,19513.5,true,false,4.0,8
11042,1,11,1726722900000,1726741380000,5.0,1213.5,-10.0,true,219.69,1227.5,70849.766,false,false,false,19623.5,19746.25,true,false,4.0,21
11130,1,11,1727165700000,1727171820000,5.0,-339.75,-10.0,true,325.75,208.95999,70510.016,false,false,false,19933.324,19900.75,true,false,4.0,7
11177,1,11,1727334900000,1727357400000,5.0,272.63,-10.0,true,101.95,764.62,70782.64,false,false,false,20237.338,20266.0,true,false,4.0,26
11274,2,11,1727791200000,1727791200000,4.0,-12.0,-8.0,true,0.0,0.0,70770.64,false,false,false,19834.775,19834.775,false,true,4.0,0
