ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending,open_price,close_price,is_long,is_short,slippage_money,bars_in_trade,close_type,stop_loss,take_profit,exit_index
9788,1,11,1716332400000,1716361620000,5.0,-164.57,-10.0,true,150.59,123.380005,59899.1,false,false,false,18725.059,18710.0,true,false,4.0,33,2,18692.559,18861.25,-1
9898,1,11,1716419700000,1716445620000,5.0,769.8,-10.0,true,6.61,1074.5,60668.9,false,false,false,18783.87,18862.25,true,false,4.0,29,2,18751.37,18920.0,-1
10074,1,11,1717597260000,1717605480000,5.0,1348.5,-10.0,true,8.79,1362.5,62017.4,false,false,false,18804.5,18940.75,true,false,4.0,10,3,18772.0,18940.75,-1
10106,1,11,1717605900000,1717676100000,5.0,1347.8,-10.0,true,81.5,1361.7999,63365.2,false,false,false,18936.07,19072.25,true,false,4.0,72,3,18903.57,19072.25,-1
10363,1,11,1718130600000,1718195400000,5.0,1347.63,-10.0,true,286.62,1361.6299,64712.824,false,false,false,19182.838,19319.0,true,false,4.0,66,3,19150.338,19319.0,-1
10561,1,11,1718200800000,1718203440000,5.0,140.0,-10.0,true,110.06,551.27,64852.824,false,false,false,19460.35,19475.75,true,false,4.0,3,2,19427.85,19596.5,-1
10611,1,11,1718641800000,1718646780000,5.0,1348.58,-10.0,true,128.06,1362.58,66201.4,false,false,false,19802.992,19939.25,true,false,4.0,6,3,19770.492,19939.25,-1
10630,1,11,1718647200000,1718653620000,5.0,-297.2,-10.0,true,283.2,367.62,65904.2,false,false,false,19953.57,19925.25,true,false,4.0,8,2,19921.07,20089.75,-1
10669,1,11,1718852760000,1718871480000,5.0,531.0,-10.0,true,52.32,1057.39,66435.2,false,false,false,19978.25,20032.75,true,false,4.0,22,2,19945.75,20114.5,-1
10744,2,11,1718901900000,1718904900000,4.0,713.98,-8.0,true,301.184,725.992,67149.18,false,false,false,19779.498,19688.75,false,true,4.0,4,3,19820.748,19688.75,-1
10858,1,11,1719950340000,1720009200000,5.0,-264.0,-10.0,true,250.0,259.13998,66885.18,false,false,false,20013.25,19988.25,true,false,4.0,59,2,19980.75,20149.5,-1
10996,1,11,1720019700000,1720025100000,5.0,394.8,-10.0,true,119.61,836.38,67279.98,false,false,false,20104.87,20145.75,true,false,4.0,7,2,20072.37,20241.0,-1
11018,1,11,1720026180000,1720044420000,5.0,-339.0,-10.0,true,325.0,96.39,66940.98,false,false,false,20187.75,20155.25,true,false,4.0,2,2,20155.25,20324.0,-1
11049,1,11,1720163700000,1720169520000,5.0,-264.0,-10.0,true,263.46002,48.89,66676.98,false,false,false,20220.0,20195.0,true,false,4.0,7,2,20187.5,20356.25,-1
11081,1,11,1720480500000,1720490100000,5.0,13.8,-10.0,true,15.06,364.27,66690.78,false,false,false,20485.97,20488.75,true,false,4.0,11,2,20453.47,20622.25,-1
11122,1,11,1720618200000,1720621080000,5.0,1.0,-10.0,true,407.24,328.07,66691.78,false,false,false,20538.0,20539.5,true,false,4.0,4,2,20505.5,20674.25,-1
11138,1,11,1720633500000,1720658940000,5.0,-66.37,-10.0,true,175.84999,465.7,66625.41,false,false,false,20642.738,20637.5,true,false,4.0,22,2,20610.238,20779.0,-1
11212,2,11,1720713600000,1720715580000,4.0,-341.9,-8.0,true,377.736,215.856,66283.51,false,false,false,20262.264,20303.5,false,true,4.0,3,2,20303.514,20171.5,-1
11260,2,11,1721317620000,1721320320000,4.0,-342.0,-8.0,true,330.0,392.808,65941.51,false,false,false,19630.25,19671.5,false,true,4.0,4,2,19671.5,19539.5,-1
11310,1,11,1721747520000,1721751720000,5.0,-301.5,-10.0,true,287.5,540.57996,65640.01,false,false,false,19854.75,19826.0,true,false,4.0,6,2,19822.25,19991.0,-1
11338,2,11,1721916900000,1721917800000,4.0,-1210.9,-8.0,true,1275.96,60.848,64429.105,false,false,false,18765.775,18915.637,false,true,4.0,2,2,18807.025,18675.0,-1
11363,1,11,1722439800000,1722441480000,5.0,-339.57,-10.0,true,325.58997,250.17,64089.53,false,false,false,19342.059,19309.5,true,false,4.0,2,2,19309.559,19478.25,-1
11391,2,11,1722837600000,1722839460000,4.0,-342.76,-8.0,true,330.768,680.768,63746.77,false,false,false,17425.654,17467.0,false,true,4.0,3,2,17466.904,17335.0,-1
11460,1,11,1723138440000,1723142400000,5.0,-339.0,-10.0,true,325.0,364.53,63407.77,false,false,false,18410.5,18378.0,true,false,4.0,5,2,18378.0,18546.75,-1
11494,1,11,1723558500000,1723559580000,5.0,-339.0,-10.0,true,325.0,104.25,63068.77,false,false,false,18801.25,18768.75,true,false,4.0,2,2,18768.75,18937.5,-1
11501,1,11,1723560300000,1723567620000,5.0,1348.5,-10.0,true,0.0,1362.5,64417.27,false,false,false,18808.0,18944.25,true,false,4.0,9,3,18775.5,18944.25,-1
11529,1,11,1723568400000,1723571160000,5.0,-337.87,-10.0,true,323.86002,127.060005,64079.395,false,false,false,18974.137,18941.75,true,false,4.0,4,2,18941.637,19110.5,-1
11561,1,11,1723730400000,1723731420000,5.0,-338.2,-10.0,true,566.16003,195.96,63741.195,false,false,false,19360.67,19328.25,true,false,4.0,2,2,19328.17,19497.0,-1
11568,1,11,1723732200000,1723761480000,5.0,1347.52,-10.0,true,70.4,1361.5199,65088.72,false,false,false,19372.848,19509.0,true,false,4.0,26,3,19340.348,19509.0,-1
11652,1,11,1724095500000,1724138820000,5.0,1348.5,-10.0,true,154.96,1362.5,66437.22,false,false,false,19686.75,19823.0,true,false,4.0,42,3,19654.25,19823.0,-1
11787,1,11,1724329800000,1724334600000,5.0,-249.0,-10.0,true,385.28998,487.58,66188.22,false,false,false,19888.25,19864.75,true,false,4.0,6,2,19855.75,20024.5,-1
11828,2,11,1724858100000,1724859360000,4.0,-342.64,-8.0,true,330.64,180.304,65845.58,false,false,false,19295.42,19336.75,false,true,4.0,2,2,19336.67,19204.75,-1
